Tamanho,Iteracao,Tipo,Tempo_ms
300,7,estatico_rapido,0.057
300,7,estatico_lento,0.228
300,7,dinamico_rapido,0.057
300,7,dinamico_lento,0.079
300,8,estatico_rapido,0.067
300,8,estatico_lento,0.118
300,8,dinamico_rapido,0.055
300,8,dinamico_lento,0.102
300,9,estatico_rapido,0.068
300,9,estatico_lento,0.093
300,9,dinamico_rapido,0.074
300,9,dinamico_lento,0.089
300,10,estatico_rapido,0.058
300,10,estatico_lento,0.081
300,10,dinamico_rapido,0.062
300,10,dinamico_lento,0.081
350,1,estatico_rapido,0.104
350,1,estatico_lento,0.122
350,1,dinamico_rapido,0.094
350,1,dinamico_lento,0.102
350,2,estatico_rapido,0.088
350,2,estatico_lento,0.105
350,2,dinamico_rapido,0.085
350,2,dinamico_lento,0.104
350,3,estatico_rapido,0.087
350,3,estatico_lento,0.108
350,3,dinamico_rapido,0.092
350,3,dinamico_lento,0.111
350,4,estatico_rapido,0.086
350,4,estatico_lento,0.099
350,4,dinamico_rapido,0.085
350,4,dinamico_lento,0.109
350,5,estatico_rapido,0.086
350,5,estatico_lento,0.102
350,5,dinamico_rapido,0.085
350,5,dinamico_lento,0.110
350,6,estatico_rapido,0.090
350,6,estatico_lento,0.110
350,6,dinamico_rapido,0.088
350,6,dinamico_lento,0.101
350,7,estatico_rapido,0.085
350,7,estatico_lento,0.099
350,7,dinamico_rapido,0.085
350,7,dinamico_lento,0.098
350,8,estatico_rapido,0.096
350,8,estatico_lento,0.099
350,8,dinamico_rapido,0.089
350,8,dinamico_lento,0.101
350,9,estatico_rapido,0.084
350,9,estatico_lento,0.105
350,9,dinamico_rapido,0.092
350,9,dinamico_lento,0.138
350,10,estatico_rapido,0.093
350,10,estatico_lento,0.120
350,10,dinamico_rapido,0.097
350,10,dinamico_lento,0.127
400,1,estatico_rapido,0.099
400,1,estatico_lento,0.198
400,1,dinamico_rapido,0.098
400,1,dinamico_lento,0.178
400,2,estatico_rapido,0.084
400,2,estatico_lento,0.171
400,2,dinamico_rapido,0.087
400,2,dinamico_lento,0.158
400,3,estatico_rapido,0.074
400,3,estatico_lento,0.164
400,3,dinamico_rapido,0.091
400,3,dinamico_lento,0.195
400,4,estatico_rapido,0.103
400,4,estatico_lento,0.177
400,4,dinamico_rapido,0.117
400,4,dinamico_lento,0.174
400,5,estatico_rapido,0.112
400,5,estatico_lento,0.190
400,5,dinamico_rapido,0.096
400,5,dinamico_lento,0.192
400,6,estatico_rapido,0.084
400,6,estatico_lento,0.201
400,6,dinamico_rapido,0.094
400,6,dinamico_lento,0.194
400,7,estatico_rapido,0.094
400,7,estatico_lento,0.181
400,7,dinamico_rapido,0.092
400,7,dinamico_lento,0.222
400,8,estatico_rapido,0.175
400,8,estatico_lento,0.185
400,8,dinamico_rapido,0.114
400,8,dinamico_lento,0.253
400,9,estatico_rapido,0.105
400,9,estatico_lento,0.322
400,9,dinamico_rapido,0.110
400,9,dinamico_lento,0.241
400,10,estatico_rapido,0.085
400,10,estatico_lento,0.190
400,10,dinamico_rapido,0.111
400,10,dinamico_lento,0.198
450,1,estatico_rapido,0.189
450,1,estatico_lento,0.251
450,1,dinamico_rapido,0.181
450,1,dinamico_lento,0.212
450,2,estatico_rapido,0.161
450,2,estatico_lento,0.171
450,2,dinamico_rapido,0.169
450,2,dinamico_lento,0.200
450,3,estatico_rapido,0.162
450,3,estatico_lento,0.398
450,3,dinamico_rapido,0.165
450,3,dinamico_lento,0.239
450,4,estatico_rapido,0.211
450,4,estatico_lento,0.352
450,4,dinamico_rapido,0.159
450,4,dinamico_lento,0.250
450,5,estatico_rapido,0.183
450,5,estatico_lento,0.329
450,5,dinamico_rapido,0.175
450,5,dinamico_lento,0.239
450,6,estatico_rapido,0.263
450,6,estatico_lento,0.252
450,6,dinamico_rapido,0.175
450,6,dinamico_lento,0.243
450,7,estatico_rapido,0.183
450,7,estatico_lento,0.279
450,7,dinamico_rapido,0.163
450,7,dinamico_lento,0.292
450,8,estatico_rapido,0.173
450,8,estatico_lento,0.210
450,8,dinamico_rapido,0.159
450,8,dinamico_lento,0.317
450,9,estatico_rapido,0.196
450,9,estatico_lento,0.449
450,9,dinamico_rapido,0.181
450,9,dinamico_lento,0.620
450,10,estatico_rapido,0.172
450,10,estatico_lento,0.193
450,10,dinamico_rapido,0.156
450,10,dinamico_lento,0.213
500,1,estatico_rapido,0.194
500,1,estatico_lento,0.345
500,1,dinamico_rapido,0.211
500,1,dinamico_lento,0.298
500,2,estatico_rapido,0.204
500,2,estatico_lento,0.283
500,2,dinamico_rapido,0.195
500,2,dinamico_lento,0.292
500,3,estatico_rapido,0.203
500,3,estatico_lento,0.321
500,3,dinamico_rapido,0.195
500,3,dinamico_lento,0.335
500,4,estatico_rapido,0.217
500,4,estatico_lento,0.277
500,4,dinamico_rapido,0.201
500,4,dinamico_lento,0.285
500,5,estatico_rapido,0.232
500,5,estatico_lento,0.326
500,5,dinamico_rapido,0.196
500,5,dinamico_lento,0.304
500,6,estatico_rapido,0.213
500,6,estatico_lento,0.253
500,6,dinamico_rapido,0.207
500,6,dinamico_lento,0.295
500,7,estatico_rapido,0.188
500,7,estatico_lento,0.209
500,7,dinamico_rapido,0.227
500,7,dinamico_lento,0.275
500,8,estatico_rapido,0.204
500,8,estatico_lento,0.286
500,8,dinamico_rapido,0.214
500,8,dinamico_lento,0.281
500,9,estatico_rapido,0.194
500,9,estatico_lento,0.205
500,9,dinamico_rapido,0.221
500,9,dinamico_lento,0.276
500,10,estatico_rapido,0.209
500,10,estatico_lento,0.265
500,10,dinamico_rapido,0.217
500,10,dinamico_lento,0.309
550,1,estatico_rapido,0.272
550,1,estatico_lento,0.400
550,1,dinamico_rapido,0.281
550,1,dinamico_lento,0.360
550,2,estatico_rapido,0.301
550,2,estatico_lento,0.359
550,2,dinamico_rapido,0.296
550,2,dinamico_lento,0.374
550,3,estatico_rapido,0.303
550,3,estatico_lento,0.339
550,3,dinamico_rapido,0.296
550,3,dinamico_lento,0.413
550,4,estatico_rapido,0.279
550,4,estatico_lento,0.415
550,4,dinamico_rapido,0.295
550,4,dinamico_lento,0.359
550,5,estatico_rapido,0.291
550,5,estatico_lento,0.358
550,5,dinamico_rapido,0.298
550,5,dinamico_lento,0.398
550,6,estatico_rapido,0.328
550,6,estatico_lento,0.315
550,6,dinamico_rapido,0.351
550,6,dinamico_lento,0.353
550,7,estatico_rapido,0.318
550,7,estatico_lento,0.351
550,7,dinamico_rapido,0.328
550,7,dinamico_lento,0.348
550,8,estatico_rapido,0.315
550,8,estatico_lento,0.343
550,8,dinamico_rapido,0.300
550,8,dinamico_lento,0.380
550,9,estatico_rapido,0.282
550,9,estatico_lento,0.363
550,9,dinamico_rapido,0.283
550,9,dinamico_lento,0.414
550,10,estatico_rapido,0.298
550,10,estatico_lento,0.380
550,10,dinamico_rapido,0.297
550,10,dinamico_lento,0.375
600,1,estatico_rapido,0.265
600,1,estatico_lento,0.499
600,1,dinamico_rapido,0.304
600,1,dinamico_lento,0.489
600,2,estatico_rapido,0.295
600,2,estatico_lento,0.477
600,2,dinamico_rapido,0.321
600,2,dinamico_lento,0.454
600,3,estatico_rapido,0.320
600,3,estatico_lento,0.457
600,3,dinamico_rapido,0.314
600,3,dinamico_lento,0.470
600,4,estatico_rapido,0.340
600,4,estatico_lento,0.462
600,4,dinamico_rapido,0.329
600,4,dinamico_lento,0.481
600,5,estatico_rapido,0.311
600,5,estatico_lento,0.458
600,5,dinamico_rapido,0.330
600,5,dinamico_lento,0.438
600,6,estatico_rapido,0.292
600,6,estatico_lento,0.367
600,6,dinamico_rapido,0.346
600,6,dinamico_lento,0.487
600,7,estatico_rapido,0.278
600,7,estatico_lento,0.456
600,7,dinamico_rapido,0.335
600,7,dinamico_lento,0.484
600,8,estatico_rapido,0.307
600,8,estatico_lento,0.508
600,8,dinamico_rapido,0.274
600,8,dinamico_lento,0.471
600,9,estatico_rapido,0.308
600,9,estatico_lento,0.463
600,9,dinamico_rapido,0.308
600,9,dinamico_lento,0.444
600,10,estatico_rapido,0.279
600,10,estatico_lento,0.481
600,10,dinamico_rapido,0.297
600,10,dinamico_lento,0.472
650,1,estatico_rapido,0.398
650,1,estatico_lento,0.651
650,1,dinamico_rapido,0.394
650,1,dinamico_lento,0.616
650,2,estatico_rapido,0.421
650,2,estatico_lento,0.640
650,2,dinamico_rapido,0.385
650,2,dinamico_lento,0.509
650,3,estatico_rapido,0.401
650,3,estatico_lento,0.604
650,3,dinamico_rapido,0.423
650,3,dinamico_lento,0.609
650,4,estatico_rapido,0.451
650,4,estatico_lento,0.520
650,4,dinamico_rapido,0.408
650,4,dinamico_lento,0.635
650,5,estatico_rapido,0.402
650,5,estatico_lento,0.647
650,5,dinamico_rapido,0.392
650,5,dinamico_lento,0.622
650,6,estatico_rapido,0.406
650,6,estatico_lento,0.606
650,6,dinamico_rapido,0.389
650,6,dinamico_lento,0.609
650,7,estatico_rapido,0.454
650,7,estatico_lento,0.506
650,7,dinamico_rapido,0.402
650,7,dinamico_lento,0.632
650,8,estatico_rapido,0.384
650,8,estatico_lento,0.597
650,8,dinamico_rapido,0.413
650,8,dinamico_lento,0.608
650,9,estatico_rapido,0.378
650,9,estatico_lento,0.490
650,9,dinamico_rapido,0.423
650,9,dinamico_lento,0.592
650,10,estatico_rapido,0.484
650,10,estatico_lento,0.619
650,10,dinamico_rapido,0.392
650,10,dinamico_lento,0.620
700,1,estatico_rapido,0.413
700,1,estatico_lento,0.756
700,1,dinamico_rapido,0.449
700,1,dinamico_lento,0.745
700,2,estatico_rapido,0.422
700,2,estatico_lento,0.727
700,2,dinamico_rapido,0.419
700,2,dinamico_lento,0.738
700,3,estatico_rapido,0.464
700,3,estatico_lento,0.727
700,3,dinamico_rapido,0.410
700,3,dinamico_lento,0.746
700,4,estatico_rapido,0.440
700,4,estatico_lento,0.761
700,4,dinamico_rapido,0.461
700,4,dinamico_lento,0.735
700,5,estatico_rapido,0.519
700,5,estatico_lento,0.753
700,5,dinamico_rapido,0.468
700,5,dinamico_lento,0.730
700,6,estatico_rapido,0.431
700,6,estatico_lento,0.736
700,6,dinamico_rapido,0.454
700,6,dinamico_lento,0.573
700,7,estatico_rapido,0.451
700,7,estatico_lento,0.749
700,7,dinamico_rapido,0.463
700,7,dinamico_lento,0.730
700,8,estatico_rapido,0.427
700,8,estatico_lento,0.831
700,8,dinamico_rapido,0.433
700,8,dinamico_lento,0.753
700,9,estatico_rapido,0.493
700,9,estatico_lento,0.768
700,9,dinamico_rapido,0.439
700,9,dinamico_lento,0.760
700,10,estatico_rapido,0.449
700,10,estatico_lento,1.011
700,10,dinamico_rapido,0.451
700,10,dinamico_lento,0.746
750,1,estatico_rapido,0.536
750,1,estatico_lento,0.716
750,1,dinamico_rapido,0.567
750,1,dinamico_lento,0.857
750,2,estatico_rapido,0.596
750,2,estatico_lento,0.891
750,2,dinamico_rapido,0.583
750,2,dinamico_lento,0.835
750,3,estatico_rapido,0.549
750,3,estatico_lento,0.907
750,3,dinamico_rapido,0.549
750,3,dinamico_lento,0.889
750,4,estatico_rapido,0.530
750,4,estatico_lento,0.875
750,4,dinamico_rapido,0.563
750,4,dinamico_lento,0.724
750,5,estatico_rapido,0.564
750,5,estatico_lento,0.859
750,5,dinamico_rapido,0.581
750,5,dinamico_lento,0.865
750,6,estatico_rapido,0.561
750,6,estatico_lento,0.869
750,6,dinamico_rapido,0.586
750,6,dinamico_lento,0.867
750,7,estatico_rapido,0.548
750,7,estatico_lento,0.892
750,7,dinamico_rapido,0.541
750,7,dinamico_lento,0.882
750,8,estatico_rapido,0.626
750,8,estatico_lento,0.889
750,8,dinamico_rapido,0.617
750,8,dinamico_lento,0.931
750,9,estatico_rapido,0.558
750,9,estatico_lento,1.208
750,9,dinamico_rapido,0.540
750,9,dinamico_lento,0.905
750,10,estatico_rapido,0.541
750,10,estatico_lento,0.896
750,10,dinamico_rapido,0.657
750,10,dinamico_lento,0.976
800,1,estatico_rapido,0.566
800,1,estatico_lento,1.212
800,1,dinamico_rapido,0.582
800,1,dinamico_lento,1.222
800,2,estatico_rapido,0.548
800,2,estatico_lento,1.267
800,2,dinamico_rapido,0.579
800,2,dinamico_lento,1.236
800,3,estatico_rapido,0.572
800,3,estatico_lento,1.197
800,3,dinamico_rapido,0.626
800,3,dinamico_lento,1.242
800,4,estatico_rapido,0.541
800,4,estatico_lento,1.241
800,4,dinamico_rapido,0.606
800,4,dinamico_lento,1.145
800,5,estatico_rapido,0.596
800,5,estatico_lento,1.204
800,5,dinamico_rapido,0.557
800,5,dinamico_lento,1.220
800,6,estatico_rapido,0.560
800,6,estatico_lento,1.232
800,6,dinamico_rapido,0.561
800,6,dinamico_lento,1.232
800,7,estatico_rapido,0.565
800,7,estatico_lento,1.276
800,7,dinamico_rapido,0.555
800,7,dinamico_lento,1.289
800,8,estatico_rapido,0.654
800,8,estatico_lento,1.184
800,8,dinamico_rapido,0.564
800,8,dinamico_lento,1.407
800,9,estatico_rapido,0.573
800,9,estatico_lento,1.274
800,9,dinamico_rapido,0.599
800,9,dinamico_lento,1.583
800,10,estatico_rapido,0.556
800,10,estatico_lento,1.281
800,10,dinamico_rapido,0.602
800,10,dinamico_lento,1.264
850,1,estatico_rapido,0.701
850,1,estatico_lento,1.310
850,1,dinamico_rapido,0.755
850,1,dinamico_lento,1.020
850,2,estatico_rapido,0.824
850,2,estatico_lento,1.328
850,2,dinamico_rapido,0.729
850,2,dinamico_lento,1.293
850,3,estatico_rapido,0.710
850,3,estatico_lento,1.289
850,3,dinamico_rapido,0.754
850,3,dinamico_lento,1.300
850,4,estatico_rapido,0.723
850,4,estatico_lento,1.003
850,4,dinamico_rapido,0.715
850,4,dinamico_lento,1.274
850,5,estatico_rapido,0.749
850,5,estatico_lento,1.005
850,5,dinamico_rapido,0.732
850,5,dinamico_lento,1.274
850,6,estatico_rapido,0.729
850,6,estatico_lento,1.307
850,6,dinamico_rapido,0.719
850,6,dinamico_lento,1.340
850,7,estatico_rapido,0.787
850,7,estatico_lento,1.207
850,7,dinamico_rapido,0.722
850,7,dinamico_lento,1.979
850,8,estatico_rapido,0.884
850,8,estatico_lento,1.324
850,8,dinamico_rapido,0.755
850,8,dinamico_lento,1.832
850,9,estatico_rapido,0.989
850,9,estatico_lento,1.553
850,9,dinamico_rapido,0.825
850,9,dinamico_lento,1.321
850,10,estatico_rapido,0.743
850,10,estatico_lento,1.939
850,10,dinamico_rapido,0.758
850,10,dinamico_lento,1.616
900,1,estatico_rapido,0.804
900,1,estatico_lento,1.451
900,1,dinamico_rapido,0.783
900,1,dinamico_lento,1.238
900,2,estatico_rapido,0.796
900,2,estatico_lento,1.419
900,2,dinamico_rapido,0.781
900,2,dinamico_lento,1.446
900,3,estatico_rapido,0.776
900,3,estatico_lento,1.436
900,3,dinamico_rapido,0.772
900,3,dinamico_lento,1.425
900,4,estatico_rapido,0.776
900,4,estatico_lento,1.438
900,4,dinamico_rapido,0.787
900,4,dinamico_lento,1.253
900,5,estatico_rapido,0.808
900,5,estatico_lento,1.200
900,5,dinamico_rapido,0.806
900,5,dinamico_lento,1.675
900,6,estatico_rapido,0.892
900,6,estatico_lento,1.572
900,6,dinamico_rapido,0.860
900,6,dinamico_lento,1.962
900,7,estatico_rapido,0.887
900,7,estatico_lento,1.446
900,7,dinamico_rapido,1.033
900,7,dinamico_lento,1.523
900,8,estatico_rapido,0.921
900,8,estatico_lento,1.370
900,8,dinamico_rapido,0.833
900,8,dinamico_lento,1.491
900,9,estatico_rapido,0.856
900,9,estatico_lento,1.504
900,9,dinamico_rapido,0.761
900,9,dinamico_lento,2.057
900,10,estatico_rapido,0.915
900,10,estatico_lento,1.404
900,10,dinamico_rapido,0.793
900,10,dinamico_lento,2.114
950,1,estatico_rapido,0.882
950,1,estatico_lento,1.678
950,1,dinamico_rapido,0.928
950,1,dinamico_lento,1.622
950,2,estatico_rapido,0.909
950,2,estatico_lento,1.672
950,2,dinamico_rapido,0.952
950,2,dinamico_lento,1.635
950,3,estatico_rapido,0.925
950,3,estatico_lento,1.828
950,3,dinamico_rapido,0.927
950,3,dinamico_lento,1.629
950,4,estatico_rapido,0.928
950,4,estatico_lento,1.642
950,4,dinamico_rapido,0.928
950,4,dinamico_lento,1.628
950,5,estatico_rapido,0.909
950,5,estatico_lento,1.665
950,5,dinamico_rapido,1.047
950,5,dinamico_lento,1.638
950,6,estatico_rapido,0.934
950,6,estatico_lento,1.613
950,6,dinamico_rapido,0.931
950,6,dinamico_lento,1.669
950,7,estatico_rapido,0.970
950,7,estatico_lento,1.632
950,7,dinamico_rapido,0.946
950,7,dinamico_lento,1.681
