Tamanho,Tipo,mean,std
1000,dinamico_lento,1.7356000000000003,0.057300765944076064
1000,dinamico_rapido,0.9812,0.032733944325594344
1000,estatico_lento,1.7449,0.021794239809841732
1000,estatico_rapido,0.953,0.015289793254906248
1050,dinamico_lento,2.0323,0.050159855573068735
1050,dinamico_rapido,1.2109,0.11256943536225891
1050,estatico_lento,2.0736,0.10708480543735219
1050,estatico_rapido,1.1631,0.02585622641540031
1100,dinamico_lento,2.2675,0.06621891304185268
1100,dinamico_rapido,1.2191,0.021403270778084325
1100,estatico_lento,2.3256,0.2392995333607374
1100,estatico_rapido,1.2383000000000002,0.03578966331219106
1150,dinamico_lento,2.5538,0.16890944319368284
1150,dinamico_rapido,1.4526,0.09551637439610956
1150,estatico_lento,2.5332999999999997,0.1374029354368626
1150,estatico_rapido,1.4689,0.08187314035207831
1200,dinamico_lento,2.5318,0.21762291546005283
1200,dinamico_rapido,1.4927,0.07030576078814593
1200,estatico_lento,2.4974,0.18931173585737718
1200,estatico_rapido,1.4426999999999999,0.05554987748761363
1250,dinamico_lento,3.0814,0.1427773713785829
1250,dinamico_rapido,1.6902000000000001,0.045005678654044444
1250,estatico_lento,3.0965,0.08621968066128147
1250,estatico_rapido,1.7556,0.1303987048333772
1300,dinamico_lento,3.3966000000000003,0.35565032764719273
1300,dinamico_rapido,1.7730000000000001,0.12734729417358404
1300,estatico_lento,3.3945,0.4331718288777946
1300,estatico_rapido,1.7927,0.12314494621289894
1350,dinamico_lento,3.5371,0.20295070556390993
1350,dinamico_rapido,1.9969999999999999,0.16927229871160576
1350,estatico_lento,3.5423,0.1537617565514187
1350,estatico_rapido,2.0007,0.1703304305036406
1400,dinamico_lento,3.6344000000000003,0.10344209330184045
1400,dinamico_rapido,1.9931,0.11292814824775392
1400,estatico_lento,3.7365000000000004,0.26128624150536517
1400,estatico_rapido,2.0232,0.15338897541146104
1450,dinamico_lento,4.3915,0.2838384712786089
1450,dinamico_rapido,2.3754999999999997,0.2891309776247129
1450,estatico_lento,4.2436,0.09799228994614263
1450,estatico_rapido,2.3226,0.20601682779164754
1500,dinamico_lento,4.6233,0.4945514353656476
1500,dinamico_rapido,2.3198,0.06406905996223483
1500,estatico_lento,4.5367,0.35729385665023733
1500,estatico_rapido,2.3369,0.07490060079865833
1550,dinamico_lento,4.774800000000001,0.17234384236171602
1550,dinamico_rapido,2.575,0.046255330023204304
1550,estatico_lento,4.7809,0.2150361468322113
1550,estatico_rapido,2.6313,0.17602338859746255
1600,dinamico_lento,5.0429,0.08138857413666843
1600,dinamico_rapido,2.6106000000000003,0.1852261080709497
1600,estatico_lento,5.0699,0.13335787274181535
1600,estatico_rapido,2.525,0.11007573150638901
1650,dinamico_lento,5.517799999999999,0.13528225637122143
1650,dinamico_rapido,2.8804000000000003,0.035731094457224645
1650,estatico_lento,5.5908,0.3306874321436753
1650,estatico_rapido,2.876,0.019131126469708867
1700,dinamico_lento,6.7934,0.11476759124421843
1700,dinamico_rapido,2.952,0.048620983124572956
1700,estatico_lento,6.7914,0.11900718932531422
1700,estatico_rapido,2.9280999999999997,0.025260641322025018
1750,dinamico_lento,6.3591,0.04084237995024281
1750,dinamico_rapido,3.2976,0.10407283774143748
1750,estatico_lento,6.3253,0.06605729836033754
1750,estatico_rapido,3.3739,0.2896045004254365
1800,dinamico_lento,6.2585,0.16326750374087834
1800,dinamico_rapido,3.2317,0.04841498849644715
1800,estatico_lento,6.2365,0.1937846743166242
1800,estatico_rapido,3.1536999999999997,0.030011294170324967
1850,dinamico_lento,6.8042,0.10303807279081072
1850,dinamico_rapido,3.6452,0.10059798981866167
1850,estatico_lento,6.792199999999999,0.10768658226538709
1850,estatico_rapido,3.6123,0.049367218092801486
1900,dinamico_lento,7.4134,0.08484652811596559
1900,dinamico_rapido,3.6765,0.03668560117175856
1900,estatico_lento,7.411199999999999,0.08064434952996473
1900,estatico_rapido,3.6481000000000003,0.03593342609759196
1950,dinamico_lento,8.3714,0.17607586748646498
1950,dinamico_rapido,4.0686,0.12121991035579369
1950,estatico_lento,8.4221,0.2331935057224176
1950,estatico_rapido,4.08,0.1240465862309623
2000,dinamico_lento,10.2839,0.31069257760329205
2000,dinamico_rapido,4.0713,0.15571630186549718
2000,estatico_lento,10.3898,0.33278715252979457
2000,estatico_rapido,3.9911000000000003,0.11524028038069936
2050,dinamico_lento,11.0816,0.29502173177957947
2050,dinamico_rapido,4.4991,0.13584832228138374
2050,estatico_lento,11.0106,0.3130240317362943
2050,estatico_rapido,4.4463,0.08728121854735468
2100,dinamico_lento,13.619299999999999,0.8214779431677466
